Dist_Nm,Stat_Nm,state_d,dstrct_,Longitd,Lattitd
Faridabad,HARYANA,8,803,77.346901140000000,28.348477880000001
Mahendragarh,HARYANA,8,812,76.138372129999993,28.171105870000002
Rewari,HARYANA,8,815,76.536607459999999,28.242778000000001
Nuh,HARYANA,8,825,77.049436679999999,27.985333160000000
Palwal,HARYANA,8,821,77.331917910000001,28.059855169999999
Charki Dadri,HARYANA,8,824,76.161342090000005,28.578893380000000
Yamunanagar,HARYANA,8,819,77.301107009999996,30.234076540000000
Kurukshetra,HARYANA,8,811,76.782872380000001,30.038282039999999
Kaithal,HARYANA,8,809,76.416426700000002,29.811550420000000
Sirsa,HARYANA,8,817,74.900713260000003,29.615587980000001
Karnal,HARYANA,8,810,76.896633210000005,29.687673539999999
Jind,HARYANA,8,808,76.306067659999997,29.435491249999998
Fatehabad,HARYANA,8,804,75.576896559999994,29.568839590000000
Hisar,HARYANA,8,806,75.822392690000001,29.211713870000001
Panipat,HARYANA,8,814,76.926536200000001,29.334084680000000
Sonipat,HARYANA,8,818,76.874746759999994,29.056578160000001
Bhiwani,HARYANA,8,802,75.890365299999999,28.778244090000001
Rohtak,HARYANA,8,816,76.529550090000001,28.911299750000001
Panchkula,HARYANA,8,813,76.976175269999999,30.682221169999998
Ambala,HARYANA,8,801,76.943077619999997,30.330619590000001
Lahul & Spiti,HIMACHAL PRADESH,9,906,77.617623730000005,32.480143519999999
Chamba,HIMACHAL PRADESH,9,911,76.350798490000003,32.674922930000001
Kangra,HIMACHAL PRADESH,9,909,76.315868100000003,32.108336289999997
Kullu,HIMACHAL PRADESH,9,907,77.399054410000005,31.902501600000001
Mandi,HIMACHAL PRADESH,9,905,76.991465180000006,31.637078840000001
Kinnaur,HIMACHAL PRADESH,9,908,78.404595580000006,31.599328969999998
Una,HIMACHAL PRADESH,9,901,76.209729589999995,31.579337110000001
Shimla,HIMACHAL PRADESH,9,904,77.631681220000004,31.197405719999999
Solan,HIMACHAL PRADESH,9,902,76.909616720000002,31.045240280000002
Sirmaur,HIMACHAL PRADESH,9,903,77.430618989999999,30.666771839999999
Hamirpur,HIMACHAL PRADESH,9,910,76.525497869999995,31.667076600000001
Bilaspur,HIMACHAL PRADESH,9,912,76.670169740000006,31.371011859999999
Kupwara,JAMMU & KASHMIR,10,1008,74.203760099999997,34.523139909999998
Bandipore,JAMMU & KASHMIR,10,1016,74.874619530000004,34.490949669999999
Baramula,JAMMU & KASHMIR,10,1003,74.308829950000003,34.165182489999999
Ganderbal,JAMMU & KASHMIR,10,1017,75.024893169999999,34.282359970000002
Anantnag,JAMMU & KASHMIR,10,1001,75.321285110000005,33.826712389999997
Kishtwar,JAMMU & KASHMIR,10,1018,75.966228790000002,33.553033630000002
Srinagar,JAMMU & KASHMIR,10,1013,74.926752879999995,34.115911560000001
Badgam,JAMMU & KASHMIR,10,1002,74.639725729999995,33.925235909999998
Pulwama,JAMMU & KASHMIR,10,1010,75.016765120000002,33.940227180000001
Punch,JAMMU & KASHMIR,10,1011,74.013745389999997,33.803001230000000
Shupiyan,JAMMU & KASHMIR,10,1023,74.818261120000003,33.733074369999997
Kulgam,JAMMU & KASHMIR,10,1019,74.842892660000004,33.602850979999999
Rajouri,JAMMU & KASHMIR,10,1012,74.380414070000000,33.273059549999999
Ramban,JAMMU & KASHMIR,10,1020,75.194837980000003,33.322688759999998
Reasi,JAMMU & KASHMIR,10,1021,74.841156609999999,33.229415439999997
Doda,JAMMU & KASHMIR,10,1004,75.707061249999995,33.090221489999998
Jammu,JAMMU & KASHMIR,10,1005,74.748815420000000,32.798098359999997
Kathua,JAMMU & KASHMIR,10,1007,75.589445139999995,32.576545619999997
Udhampur,JAMMU & KASHMIR,10,1014,75.303559919999998,32.894932580000003
Samba,JAMMU & KASHMIR,10,1022,75.094888960000006,32.578791369999998
Muzaffarabad,JAMMU & KASHMIR,10,1024,73.923937100000003,34.595850210000002
Mirpur,JAMMU & KASHMIR,10,1025,73.928422949999998,33.252042770000003
Sahibganj,JHARKHAND,11,1120,87.677022669999999,25.009766290000002
Godda,JHARKHAND,11,1108,87.308176029999998,24.858797230000000
Pakur,JHARKHAND,11,1115,87.662131579999993,24.564243930000000
Giridih,JHARKHAND,11,1107,86.110137019999996,24.294172230000001
Dumka,JHARKHAND,11,1105,87.265749200000002,24.319492950000001
Deoghar,JHARKHAND,11,1103,86.738800929999996,24.328693560000001
Palamu,JHARKHAND,11,1116,84.166779669999997,24.202921329999999
Chatra,JHARKHAND,11,1102,84.887119229999996,24.173280710000000
Garhwa,JHARKHAND,11,1106,83.697614009999995,24.103757649999999
Jamtara,JHARKHAND,11,1111,86.907073310000001,23.975767510000001
Dhanbad,JHARKHAND,11,1104,86.471497009999993,23.827072210000001
Latehar,JHARKHAND,11,1113,84.441661920000001,23.718527000000002
Bokaro,JHARKHAND,11,1101,85.995991720000006,23.694894089999998
Ramgarh,JHARKHAND,11,1124,85.563449329999997,23.634516260000002
Ranchi,JHARKHAND,11,1119,85.373400110000006,23.329020040000000
Lohardaga,JHARKHAND,11,1114,84.669489799999994,23.475514799999999
Gumla,JHARKHAND,11,1109,84.531815580000000,23.102882480000002
Khunti,JHARKHAND,11,1123,85.261828449999996,22.993862790000001
Saraikela-kharsawan,JHARKHAND,11,1121,85.949594460000000,22.847621770000000
Purbi Singhbhum,JHARKHAND,11,1118,86.451067690000002,22.583490579999999
Pashchimi Singhbhum,JHARKHAND,11,1117,85.518284379999997,22.420786050000000
Simdega,JHARKHAND,11,1122,84.563780769999994,22.581779340000001
Kodarma,JHARKHAND,11,1112,85.665827140000005,24.499036570000001
Hazaribagh,JHARKHAND,11,1110,85.418695499999998,24.055459710000001
Bidar,KARNATAKA,12,1206,77.224814699999996,17.952196929999999
Kalaburagi,KARNATAKA,12,1215,76.869027149999994,17.260363529999999
Belagavi,KARNATAKA,12,1204,74.823813900000005,16.121044280000000
Yadgir,KARNATAKA,12,1230,76.912534699999995,16.626870260000000
Bagalkote,KARNATAKA,12,1201,75.625603839999997,16.221378049999998
Raichur,KARNATAKA,12,1223,76.891799520000006,16.090696690000001
Koppal,KARNATAKA,12,1220,76.221502520000001,15.562559240000001
Gadag,KARNATAKA,12,1214,75.665296589999997,15.431491299999999
Ballari,KARNATAKA,12,1205,76.532680650000003,15.110076760000000
Dharwad,KARNATAKA,12,1213,75.152350409999997,15.390209890000000
Uttara Kannada,KARNATAKA,12,1227,74.619686130000005,14.791506090000000
Haveri,KARNATAKA,12,1217,75.416519589999993,14.738869120000000
Chitradurga,KARNATAKA,12,1210,76.515224219999993,14.168629460000000
Davanagere,KARNATAKA,12,1212,75.954102129999995,14.408776670000000
Shivamogga,KARNATAKA,12,1224,75.220197139999996,14.043250660000000
Udupi,KARNATAKA,12,1226,74.872255129999999,13.498278750000001
Chikkamagaluru,KARNATAKA,12,1209,75.690661890000001,13.454680919999999
Chikkaballapura,KARNATAKA,12,1228,77.835225969999996,13.578041230000000
Hassan,KARNATAKA,12,1216,76.107837320000002,12.996472660000000
Kolar,KARNATAKA,12,1219,78.217843290000005,13.139732170000000
Bengaluru Rural,KARNATAKA,12,1202,77.574069989999998,13.227291760000000
Dakshina Kannada,KARNATAKA,12,1211,75.250775709999999,12.852894320000001
Bangalore,KARNATAKA,12,1203,77.593695560000000,12.951824710000000
Kodagu,KARNATAKA,12,1218,75.800839769999996,12.324923600000000
Chamarajanagara,KARNATAKA,12,1208,77.097620070000005,11.958303519999999
Tumakuru,KARNATAKA,12,1225,76.901454349999995,13.427312920000000
Ramanagara,KARNATAKA,12,1229,77.335345390000001,12.679201239999999
Mandya,KARNATAKA,12,1221,76.796978890000005,12.611994420000000
Mysuru,KARNATAKA,12,1222,76.441060949999994,12.210707070000000
Vijayapura,KARNATAKA,12,517,75.952878970000000,16.794495240000000
Kasaragod,KERALA,13,1305,75.152236189999996,12.462309210000001
Wayanad,KERALA,13,1314,76.097693530000001,11.712175510000000
Kozhikode,KERALA,13,1308,75.833681619999993,11.485345100000000
Malappuram,KERALA,13,1309,76.154904770000002,11.133501130000001
Palakkad,KERALA,13,1310,76.556830000000005,10.794820970000000
Thrissur,KERALA,13,1313,76.314947610000004,10.471638970000001
Idukki,KERALA,13,1303,77.056821220000003,9.839687809999999
Ernakulam,KERALA,13,1302,76.546353159999995,10.084120550000000
Alappuzha,KERALA,13,1301,76.447761749999998,9.427366184000000
Kottayam,KERALA,13,1307,76.650548459999996,9.637187224000000
Pathanamthitta,KERALA,13,1311,76.927031069999998,9.284721234999999
Kollam,KERALA,13,1306,76.873095939999999,8.961812432000000
Thiruvananthapuram,KERALA,13,1312,77.013107739999995,8.609229579000001
Kannur,KERALA,13,1304,75.524133160000005,12.000020940000001
Leh,JAMMU & KASHMIR,10,1009,76.805712589999999,35.036147049999997
Kargil,JAMMU & KASHMIR,10,1006,76.507503600000007,33.886224089999999
Lakshadweep,LAKSHADWEEP,34,3401,73.677950600000003,10.811545199999999
Burhanpur,MADHYA PRADESH,14,1408,76.368619179999996,21.370284840000000
Morena,MADHYA PRADESH,14,1427,77.867840990000005,26.412896060000001
Bhind,MADHYA PRADESH,14,1406,78.721268089999995,26.422161520000000
Gwalior,MADHYA PRADESH,14,1417,78.146084450000004,26.039585850000002
Sheopur,MADHYA PRADESH,14,1441,77.006980810000002,25.754268710000002
Shivpuri,MADHYA PRADESH,14,1442,77.804960440000002,25.365547459999998
Tikamgarh,MADHYA PRADESH,14,1444,79.015801850000003,24.882798019999999
Neemuch,MADHYA PRADESH,14,1429,75.141926229999996,24.592109900000001
Rewa,MADHYA PRADESH,14,1434,81.587361880000003,24.755313380000000
Satna,MADHYA PRADESH,14,1436,80.831338819999999,24.531000700000000
Guna,MADHYA PRADESH,14,1416,77.198605150000006,24.556040480000000
Ashoknagar,MADHYA PRADESH,14,1402,77.875355240000005,24.609381039999999
Mandsaur,MADHYA PRADESH,14,1426,75.405368569999993,24.204387380000000
Singrauli,MADHYA PRADESH,14,1450,82.418718760000004,24.215070870000002
Sidhi,MADHYA PRADESH,14,1443,81.833812260000002,24.220709159999998
Sagar,MADHYA PRADESH,14,1435,78.759659249999999,23.849975520000001
Damoh,MADHYA PRADESH,14,1411,79.526837889999996,23.812353229999999
Shajapur,MADHYA PRADESH,14,1440,76.575499019999995,23.365785830000000
Vidisha,MADHYA PRADESH,14,1447,77.812978990000005,23.892365359999999
Rajgarh,MADHYA PRADESH,14,1432,76.732424069999993,23.861206500000002
Shahdol,MADHYA PRADESH,14,1439,81.473647029999995,23.629251510000000
Katni,MADHYA PRADESH,14,1423,80.403083269999996,23.753166759999999
Umaria,MADHYA PRADESH,14,1446,80.973678469999996,23.562490900000000
Ratlam,MADHYA PRADESH,14,1433,75.088548040000006,23.502316919999998
Bhopal,MADHYA PRADESH,14,1407,77.390769680000005,23.470135480000000
Ujjain,MADHYA PRADESH,14,1445,75.669201389999998,23.330989230000000
Raisen,MADHYA PRADESH,14,1431,78.120599740000003,23.220047590000000
Sehore,MADHYA PRADESH,14,1437,77.127446910000003,22.987609859999999
Jabalpur,MADHYA PRADESH,14,1421,79.975884050000005,23.234196090000001
Dewas,MADHYA PRADESH,14,1413,76.456882480000004,22.744163000000000
Anuppur,MADHYA PRADESH,14,1401,81.682419569999993,23.056632040000000
Jhabua,MADHYA PRADESH,14,1422,74.671586079999997,22.892345930000001
Dindori,MADHYA PRADESH,14,1415,81.051290280000003,22.889770609999999
Narsimhapur,MADHYA PRADESH,14,1428,79.087896299999997,22.936241809999999
Dhar,MADHYA PRADESH,14,1414,75.103846910000001,22.498020669999999
Indore,MADHYA PRADESH,14,1420,75.782384219999997,22.713059540000000
Mandla,MADHYA PRADESH,14,1425,80.511978929999998,22.639160669999999
Hoshangabad,MADHYA PRADESH,14,1419,77.990698839999993,22.590649719999998
Seoni,MADHYA PRADESH,14,1438,79.689148399999993,22.316931850000000
Alirajpur,MADHYA PRADESH,14,1449,74.363713939999997,22.314642159999998
Chhindwara,MADHYA PRADESH,14,1410,78.854225380000003,22.122376150000001
Harda,MADHYA PRADESH,14,1418,77.123013299999997,22.232701450000000
West Nimar,MADHYA PRADESH,14,1448,75.771303090000004,21.918733629999998
East Nimar,MADHYA PRADESH,14,1424,76.568240029999998,21.934934630000001
Balaghat,MADHYA PRADESH,14,1403,80.359439370000004,21.880620010000001
Barwani,MADHYA PRADESH,14,1405,75.021085249999999,21.788091909999999
Agar Malwa,MADHYA PRADESH,14,1451,76.088547019999993,23.814773729999999
Datia,MADHYA PRADESH,14,1412,78.612840610000006,25.840462230000000
Chhatarpur,MADHYA PRADESH,14,1409,79.664717560000000,24.799251720000001
